¿Ã∏ß,ø¨µµ,≈∏ºÆ,≈∏ºˆ,µÊ¡°,æ»≈∏,2≈∏,3≈∏,»®∑±,∑Á≈∏,≈∏¡°,µµ∑Á,µµΩ«,∫º≥›,ªÁ±∏,∞Ì4,ªÔ¡¯,∫¥ªÏ,»Ò≈∏,»Ò∫Ò,≈∏¿≤,√‚∑Á,¿Â≈∏,OPS
∑‘µ•,2016,5784,5001,777,1439,252,20,127,2112,732,145,64,596,83,18,1061,120,62,41,0.288,0.37,0.422,0.793
KIA,2016,5696,4999,803,1429,264,28,170,2259,754,101,50,499,87,12,997,109,66,45,0.286,0.358,0.452,0.81
≥ÿºæ,2016,5702,4990,813,1464,254,39,134,2198,765,154,83,556,63,17,956,121,34,59,0.293,0.368,0.44,0.808
kt,2016,5620,4963,672,1369,214,11,116,1953,639,96,46,499,48,7,933,130,65,45,0.276,0.345,0.394,0.738
≥ÿºæ,2015,5811,5069,904,1512,304,20,203,2465,855,100,47,544,82,18,1098,112,61,55,0.298,0.372,0.486,0.858
ªÔº∫,2015,5803,5019,897,1515,259,25,176,2352,850,157,52,581,70,21,930,109,76,57,0.302,0.378,0.469,0.847
∑‘µ•,2015,5680,4972,765,1393,254,19,177,2216,727,104,50,532,68,22,1186,136,80,28,0.28,0.356,0.446,0.802
NC,2015,5727,4967,844,1437,283,28,161,2259,802,204,60,536,106,24,1023,105,64,53,0.289,0.367,0.455,0.822
µŒªÍ,2015,5759,4957,807,1436,254,22,140,2154,770,111,47,567,99,24,820,139,75,60,0.29,0.37,0.435,0.804
LG,2015,5599,4941,653,1331,252,22,114,1969,601,113,62,462,80,18,1076,98,75,41,0.269,0.339,0.399,0.738
kt,2015,5605,4927,670,1344,221,15,129,1982,633,124,52,507,58,21,1112,118,75,37,0.273,0.345,0.402,0.748
SK,2015,5588,4861,693,1323,214,10,145,1992,656,94,59,490,98,13,1047,113,110,29,0.272,0.349,0.41,0.759
«—»≠,2015,5713,4850,717,1316,218,19,130,1962,667,80,47,581,109,33,1133,112,139,35,0.271,0.36,0.405,0.764
KIA,2015,5454,4777,648,1197,223,22,136,1872,602,115,50,454,101,16,1126,105,79,43,0.251,0.326,0.392,0.718
